denenîase'opytyme'yma oré ndemogûendypuke'ymi,[SUB_VERB]denen[OBJECT:DIRECT]îase'opytym[ROOT]e'ym[NEGATION_SUFFIX]a[GERUND_SUFFIX:CLASS_1][SUB_VERB] [MAIN_VERB]oré[SUBJECT:1ppe] nde[OBJECT:2ps]mogûendypuk[ROOT]e'ym[NEGATION_SUFFIX]i[CIRCUMSTANTIAL_SUFFIX:CONSONANT_ENDING][MAIN_VERB],We didn't choke Denen while failing to polish you
denenîase'opytyme'yma oré ndemogûendypuke'ymi,[SUB_VERB]denen[OBJECT:DIRECT]îase'opytym[ROOT]e'ym[NEGATION_SUFFIX]a[GERUND_SUFFIX:CLASS_1][SUB_VERB] [MAIN_VERB]oré[SUBJECT:1ppe] nde[OBJECT:2ps]mogûendypuk[ROOT]e'ym[NEGATION_SUFFIX]i[CIRCUMSTANTIAL_SUFFIX:CONSONANT_ENDING][MAIN_VERB],"Without choking Denen, we didn't make you shine"
denenîase'opytyme'yma oré ndemogûendypuke'ymi,[SUB_VERB]denen[OBJECT:DIRECT]îase'opytym[ROOT]e'ym[NEGATION_SUFFIX]a[GERUND_SUFFIX:CLASS_1][SUB_VERB] [MAIN_VERB]oré[SUBJECT:1ppe] nde[OBJECT:2ps]mogûendypuk[ROOT]e'ym[NEGATION_SUFFIX]i[CIRCUMSTANTIAL_SUFFIX:CONSONANT_ENDING][MAIN_VERB],We failed to polish you up while Denen was not choking
denenîase'opytyme'yma oré ndemogûendypuke'ymi,[SUB_VERB]denen[OBJECT:DIRECT]îase'opytym[ROOT]e'ym[NEGATION_SUFFIX]a[GERUND_SUFFIX:CLASS_1][SUB_VERB] [MAIN_VERB]oré[SUBJECT:1ppe] nde[OBJECT:2ps]mogûendypuk[ROOT]e'ym[NEGATION_SUFFIX]i[CIRCUMSTANTIAL_SUFFIX:CONSONANT_ENDING][MAIN_VERB],We didn't brighten you up as Denen remained unchoked
denenîase'opytyme'yma oré ndemogûendypuke'ymi,[SUB_VERB]denen[OBJECT:DIRECT]îase'opytym[ROOT]e'ym[NEGATION_SUFFIX]a[GERUND_SUFFIX:CLASS_1][SUB_VERB] [MAIN_VERB]oré[SUBJECT:1ppe] nde[OBJECT:2ps]mogûendypuk[ROOT]e'ym[NEGATION_SUFFIX]i[CIRCUMSTANTIAL_SUFFIX:CONSONANT_ENDING][MAIN_VERB],"While not choking Denen, we couldn't make you gleam"
regix eîpopysyk toroîmoanhan umẽ ernie,[MAIN_VERB]regix[OBJECT:DIRECT] e[IMPERATIVE_PREFIX:2ps]î[OBJECT_MARKER:3p:DEFAULT]popysyk[ROOT][MAIN_VERB] [SUB_VERB]t[PERMISSIVE_PREFIX:VOWEL]oro[SUBJECT_PREFIX:1ppe]î[OBJECT_MARKER:3p:DEFAULT]moanhan[ROOT] umẽ[NEGATION_PARTICLE:UME] ernie[OBJECT:DIRECT][SUB_VERB],Hold Regix so we don't bump into Ernie
regix eîpopysyk toroîmoanhan umẽ ernie,[MAIN_VERB]regix[OBJECT:DIRECT] e[IMPERATIVE_PREFIX:2ps]î[OBJECT_MARKER:3p:DEFAULT]popysyk[ROOT][MAIN_VERB] [SUB_VERB]t[PERMISSIVE_PREFIX:VOWEL]oro[SUBJECT_PREFIX:1ppe]î[OBJECT_MARKER:3p:DEFAULT]moanhan[ROOT] umẽ[NEGATION_PARTICLE:UME] ernie[OBJECT:DIRECT][SUB_VERB],Grab Regix before we crash into Ernie
regix eîpopysyk toroîmoanhan umẽ ernie,[MAIN_VERB]regix[OBJECT:DIRECT] e[IMPERATIVE_PREFIX:2ps]î[OBJECT_MARKER:3p:DEFAULT]popysyk[ROOT][MAIN_VERB] [SUB_VERB]t[PERMISSIVE_PREFIX:VOWEL]oro[SUBJECT_PREFIX:1ppe]î[OBJECT_MARKER:3p:DEFAULT]moanhan[ROOT] umẽ[NEGATION_PARTICLE:UME] ernie[OBJECT:DIRECT][SUB_VERB],Keep hold of Regix so we don't push Ernie
regix eîpopysyk toroîmoanhan umẽ ernie,[MAIN_VERB]regix[OBJECT:DIRECT] e[IMPERATIVE_PREFIX:2ps]î[OBJECT_MARKER:3p:DEFAULT]popysyk[ROOT][MAIN_VERB] [SUB_VERB]t[PERMISSIVE_PREFIX:VOWEL]oro[SUBJECT_PREFIX:1ppe]î[OBJECT_MARKER:3p:DEFAULT]moanhan[ROOT] umẽ[NEGATION_PARTICLE:UME] ernie[OBJECT:DIRECT][SUB_VERB],Stop Regix so we don't run into Ernie
regix eîpopysyk toroîmoanhan umẽ ernie,[MAIN_VERB]regix[OBJECT:DIRECT] e[IMPERATIVE_PREFIX:2ps]î[OBJECT_MARKER:3p:DEFAULT]popysyk[ROOT][MAIN_VERB] [SUB_VERB]t[PERMISSIVE_PREFIX:VOWEL]oro[SUBJECT_PREFIX:1ppe]î[OBJECT_MARKER:3p:DEFAULT]moanhan[ROOT] umẽ[NEGATION_PARTICLE:UME] ernie[OBJECT:DIRECT][SUB_VERB],Catch Regix before we collide with Ernie
